timestamp,gps_lat,gps_lon,gps_alt,gps_fix_type,gps_satellites,gps_speed,imu_xacc,imu_yacc,imu_zacc,imu_xgyro,imu_ygyro,imu_zgyro,baro_pressure,baro_temp,mag_x,mag_y,mag_z,label
0.002,-35.363261,149.1652299,584.09,6,10,0.0,0,0,-1001,1,1,2,945.0282592773438,3120,224,80,-528,0
0.006,-35.363261,149.1652299,584.09,6,10,0.0,0,0,-1001,2,2,2,945.0282592773438,3120,224,80,-528,0
0.008,-35.363261,149.1652299,584.09,6,10,0.0,0,0,-1001,1,1,2,945.0282592773438,3120,224,80,-528,0
0.01,-35.363261,149.1652299,584.09,6,10,0.0,0,0,-1000,2,2,2,945.0282592773438,3120,224,80,-528,0
0.012,-35.363261,149.1652299,584.09,6,10,0.0,0,0,-1001,1,1,1,945.0282592773438,3120,224,80,-528,0
0.014,-35.363261,149.1652299,584.09,6,10,0.0,0,0,-1001,1,2,1,945.0282592773438,3120,224,80,-528,0
0.015,-35.363261,149.1652299,584.09,6,10,0.0,0,0,-1001,1,1,1,945.0282592773438,3120,224,80,-528,0
0.017,-35.363261,149.1652299,584.09,6,10,0.0,0,0,-1001,1,2,2,945.0282592773438,3120,224,80,-528,0
0.019,-35.363261,149.1652299,584.09,6,10,0.0,0,0,-1001,1,1,1,945.0282592773438,3120,224,80,-528,0
0.023,-35.363261,149.1652299,584.09,6,10,0.0,0,0,-1001,2,1,1,945.0282592773438,3120,224,80,-528,0
0.025,-35.363261,149.1652299,584.09,6,10,0.0,0,0,-1001,1,2,1,945.0282592773438,3120,224,80,-528,0
0.026,-35.363261,149.1652299,584.09,6,10,0.0,0,0,-1001,1,1,2,945.0282592773438,3120,224,80,-528,0
0.028,-35.363261,149.1652299,584.09,6,10,0.0,0,0,-1001,1,1,1,945.0282592773438,3120,224,80,-528,0
0.031,-35.363261,149.1652299,584.09,6,10,0.0,0,0,-1001,1,1,2,945.0282592773438,3120,224,80,-528,0
0.033,-35.363261,149.1652299,584.09,6,10,0.0,0,0,-1001,1,1,1,945.0282592773438,3120,224,80,-528,0
0.034,-35.363261,149.1652299,584.09,6,10,0.0,0,0,-1001,1,1,2,945.0282592773438,3120,224,80,-528,0
0.036,-35.363261,149.1652299,584.09,6,10,0.0,0,0,-1000,2,1,1,945.0282592773438,3120,224,80,-528,0
0.038,-35.363261,149.1652299,584.09,6,10,0.0,0,0,-1001,1,2,1,945.0282592773438,3120,224,80,-528,0
0.04,-35.363261,149.1652299,584.09,6,10,0.0,0,0,-1001,1,2,1,945.0282592773438,3120,224,80,-528,0
0.042,-35.363261,149.1652299,584.09,6,10,0.0,0,0,-1001,1,1,1,945.0282592773438,3120,224,80,-528,0
