timestamp,gps_lat,gps_lon,gps_alt,gps_fix_type,gps_satellites,gps_speed,imu_xacc,imu_yacc,imu_zacc,imu_xgyro,imu_ygyro,imu_zgyro,baro_pressure,baro_temp,mag_x,mag_y,mag_z,label
0.014,0.0,0.0,0.0,0,0,0.0,0,0,-1001,0,0,0,945.0282592773438,2536,0,0,0,0
0.016,0.0,0.0,0.0,0,0,0.0,0,0,-1001,0,0,0,945.0282592773438,2550,224,80,-528,0
0.017,0.0,0.0,0.0,0,0,0.0,0,0,-1001,0,0,0,945.0282592773438,2552,224,80,-528,0
0.019,0.0,0.0,0.0,0,0,0.0,0,0,-1001,0,0,0,945.0282592773438,2553,224,80,-528,0
0.02,0.0,0.0,0.0,0,0,0.0,0,0,-1001,0,0,0,945.0282592773438,2555,224,80,-528,0
0.021,0.0,0.0,0.0,0,0,0.0,0,0,-1001,0,0,0,945.0282592773438,2557,224,80,-528,0
0.023,0.0,0.0,0.0,0,0,0.0,0,0,-1001,0,0,0,945.0282592773438,2559,224,80,-528,0
0.101,0.0,0.0,0.0,0,0,0.0,0,0,-1001,0,0,0,945.0282592773438,2561,224,80,-528,0
0.205,0.0,0.0,0.0,0,0,0.0,0,0,-1001,0,0,0,945.0282592773438,2563,224,80,-528,0
0.305,0.0,0.0,0.0,0,0,0.0,0,0,-1001,0,0,0,945.0282592773438,2565,224,80,-528,0
0.4,0.0,0.0,0.0,0,0,0.0,0,0,-1001,0,0,0,945.0282592773438,2567,224,80,-528,0
0.505,0.0,0.0,0.0,0,0,0.0,0,0,-1001,0,0,0,945.0282592773438,2568,224,80,-528,0
0.6,0.0,0.0,0.0,0,0,0.0,0,0,-1000,0,0,0,945.0282592773438,2570,224,80,-528,0
0.701,0.0,0.0,0.0,0,0,0.0,0,0,-1001,0,0,0,945.0282592773438,2572,224,80,-528,0
0.801,0.0,0.0,0.0,0,0,0.0,0,0,-1001,0,0,0,945.0282592773438,2574,224,80,-528,0
0.901,0.0,0.0,0.0,0,0,0.0,0,0,-1001,0,0,0,945.0282592773438,2576,224,80,-528,0
1.001,0.0,0.0,0.0,0,0,0.0,0,0,-1001,0,0,0,945.0282592773438,2577,224,80,-528,0
1.101,0.0,0.0,0.0,0,0,0.0,0,0,-1001,0,0,0,945.0282592773438,2579,224,80,-528,0
1.202,0.0,0.0,0.0,0,0,0.0,0,0,-1001,0,0,0,945.0282592773438,2581,224,80,-528,0
1.304,0.0,0.0,0.0,0,0,0.0,0,0,-1001,0,0,0,945.0282592773438,2583,224,80,-528,0
1.4,0.0,0.0,0.0,0,0,0.0,0,0,-1001,0,0,0,945.0282592773438,2585,224,80,-528,0
1.502,0.0,0.0,0.0,0,0,0.0,0,0,-1001,0,0,0,945.0282592773438,2586,224,80,-528,0
1.606,0.0,0.0,0.0,0,0,0.0,0,0,-1001,0,0,0,945.0282592773438,2588,224,80,-528,0
1.702,0.0,0.0,0.0,0,0,0.0,0,0,-1001,0,0,0,945.0282592773438,2590,224,80,-528,0
1.802,0.0,0.0,0.0,0,0,0.0,0,0,-1000,0,0,0,945.0282592773438,2592,224,80,-528,0
1.903,0.0,0.0,0.0,0,0,0.0,0,0,-1001,0,0,0,945.0282592773438,2594,224,80,-528,0
2.004,0.0,0.0,0.0,0,0,0.0,0,0,-1001,0,0,0,945.0282592773438,2595,224,80,-528,0
2.101,0.0,0.0,0.0,0,0,0.0,0,0,-1001,0,0,0,945.0282592773438,2597,224,80,-528,0
2.201,0.0,0.0,0.0,0,0,0.0,0,0,-1001,0,0,0,945.0282592773438,2599,224,80,-528,0
2.302,0.0,0.0,0.0,0,0,0.0,0,0,-1001,0,0,0,945.0282592773438,2600,224,80,-528,0
2.403,0.0,0.0,0.0,0,0,0.0,0,0,-1001,0,0,0,945.0282592773438,2602,224,80,-528,0
2.506,0.0,0.0,0.0,0,0,0.0,0,0,-1001,0,0,0,945.0282592773438,2604,224,80,-528,0
2.601,0.0,0.0,0.0,0,0,0.0,0,0,-1000,0,0,0,945.0282592773438,2606,224,80,-528,0
2.701,0.0,0.0,0.0,0,0,0.0,0,0,-1001,0,0,0,945.0282592773438,2607,224,80,-528,0
2.803,0.0,0.0,0.0,0,0,0.0,0,0,-1001,0,0,0,945.0282592773438,2609,224,80,-528,0
2.903,0.0,0.0,0.0,0,0,0.0,0,0,-1001,0,0,0,945.0282592773438,2611,224,80,-528,0
3.004,0.0,0.0,0.0,0,0,0.0,0,0,-1001,0,0,0,945.0282592773438,2612,224,80,-528,0
3.106,0.0,0.0,0.0,0,0,0.0,0,0,-1001,0,0,0,945.0282592773438,2614,224,80,-528,0
3.201,0.0,0.0,0.0,0,0,0.0,0,0,-1001,0,0,0,945.0282592773438,2616,224,80,-528,0
3.304,0.0,0.0,0.0,0,0,0.0,0,0,-1001,0,0,0,945.0282592773438,2618,224,80,-528,0
3.401,0.0,0.0,0.0,0,0,0.0,0,0,-1001,0,0,0,945.0282592773438,2619,224,80,-528,0
3.502,0.0,0.0,0.0,0,0,0.0,0,0,-1001,0,0,0,945.0282592773438,2621,224,80,-528,0
3.604,0.0,0.0,0.0,0,0,0.0,0,0,-1001,0,0,0,945.0282592773438,2623,224,80,-528,0
3.706,0.0,0.0,0.0,0,0,0.0,0,0,-1001,0,0,0,945.0282592773438,2624,224,80,-528,0
3.803,0.0,0.0,0.0,0,0,0.0,0,0,-1001,0,0,0,945.0282592773438,2626,224,80,-528,0
3.902,0.0,0.0,0.0,0,0,0.0,0,0,-1001,0,0,0,945.0282592773438,2627,224,80,-528,0
4.002,0.0,0.0,0.0,0,0,0.0,0,0,-1001,0,0,0,945.0282592773438,2629,224,80,-528,0
4.104,0.0,0.0,0.0,0,0,0.0,0,0,-1001,0,0,0,945.0282592773438,2631,224,80,-528,0
4.207,0.0,0.0,0.0,0,0,0.0,0,0,-1001,0,0,0,945.0282592773438,2632,224,80,-528,0
4.305,0.0,0.0,0.0,0,0,0.0,0,0,-1001,0,0,0,945.0282592773438,2634,224,80,-528,0
4.406,0.0,0.0,0.0,0,0,0.0,0,0,-1001,0,0,0,945.0282592773438,2636,224,80,-528,0
4.502,0.0,0.0,0.0,0,0,0.0,0,0,-1000,0,0,0,945.0282592773438,2637,224,80,-528,0
4.603,0.0,0.0,0.0,0,0,0.0,0,0,-1001,0,0,0,945.0282592773438,2639,224,80,-528,0
4.704,0.0,0.0,0.0,0,0,0.0,0,0,-1001,0,0,0,945.0282592773438,2640,224,80,-528,0
4.803,0.0,0.0,0.0,0,0,0.0,0,0,-1001,0,0,0,945.0282592773438,2642,224,80,-528,0
4.905,0.0,0.0,0.0,0,0,0.0,0,0,-1001,0,0,0,945.0282592773438,2644,224,80,-528,0
5.002,0.0,0.0,0.0,0,0,0.0,0,0,-1001,0,0,0,945.0282592773438,2645,224,80,-528,0
5.101,0.0,0.0,0.0,0,0,0.0,0,0,-1000,0,0,0,945.0282592773438,2647,224,80,-528,0
5.202,0.0,0.0,0.0,0,0,0.0,0,0,-1000,0,0,0,945.0282592773438,2648,224,80,-528,0
5.305,0.0,0.0,0.0,0,0,0.0,0,0,-1001,0,0,0,945.0282592773438,2650,224,80,-528,0
5.406,0.0,0.0,0.0,0,0,0.0,0,0,-1001,0,0,0,945.0282592773438,2651,224,80,-528,0
5.506,0.0,0.0,0.0,0,0,0.0,0,0,-1001,0,0,0,945.0282592773438,2653,224,80,-528,0
5.6,0.0,0.0,0.0,0,0,0.0,0,0,-1001,0,0,0,945.0282592773438,2655,224,80,-528,0
5.703,0.0,0.0,0.0,0,0,0.0,0,0,-1001,0,0,0,945.0282592773438,2656,224,80,-528,0
5.804,0.0,0.0,0.0,0,0,0.0,0,0,-1001,0,0,0,945.0282592773438,2658,224,80,-528,0
5.906,0.0,0.0,0.0,0,0,0.0,0,0,-1001,0,0,0,945.0282592773438,2659,224,80,-528,0
6.002,0.0,0.0,0.0,0,0,0.0,0,0,-1001,0,0,0,945.0282592773438,2661,224,80,-528,0
6.104,0.0,0.0,0.0,0,0,0.0,0,0,-1001,0,0,0,945.0282592773438,2662,224,80,-528,0
6.206,0.0,0.0,0.0,0,0,0.0,0,0,-1001,0,0,0,945.0282592773438,2664,224,80,-528,0
6.303,0.0,0.0,0.0,0,0,0.0,0,0,-1001,0,0,0,945.0282592773438,2665,224,80,-528,0
6.405,0.0,0.0,0.0,0,0,0.0,0,0,-1001,0,0,0,945.0282592773438,2667,224,80,-528,0
6.502,0.0,0.0,0.0,0,0,0.0,0,0,-1001,0,0,0,945.0282592773438,2668,224,80,-528,0
6.604,0.0,0.0,0.0,0,0,0.0,0,0,-1001,0,0,0,945.0282592773438,2670,224,80,-528,0
6.706,0.0,0.0,0.0,0,0,0.0,0,0,-1001,0,0,0,945.0282592773438,2671,224,80,-528,0
6.804,-35.0016358,147.6398646,578.11,1,3,0.0,0,0,-1001,0,0,0,945.0282592773438,2673,224,80,-528,0
6.903,-35.0016358,147.6398646,578.11,1,3,0.0,0,0,-1001,0,0,0,945.0282592773438,2674,224,80,-528,0
7.001,-35.363261,149.1652299,584.09,6,10,0.0,0,0,-1001,0,0,0,945.0282592773438,2676,224,80,-528,0
7.102,-35.363261,149.1652299,584.09,6,10,0.0,0,0,-1000,0,0,0,945.0282592773438,2677,224,80,-528,0
7.203,-35.363261,149.1652299,584.09,6,10,0.0,0,0,-1001,0,0,0,945.0282592773438,2679,224,80,-528,0
7.302,-35.363261,149.1652299,584.09,6,10,0.0,0,0,-1001,0,0,0,945.0282592773438,2680,224,80,-528,0
7.403,-35.363261,149.1652299,584.09,6,10,0.0,0,0,-1001,0,0,0,945.0282592773438,2682,224,80,-528,0
7.503,-35.363261,149.1652299,584.09,6,10,0.0,0,0,-1001,0,0,0,945.0282592773438,2683,224,80,-528,0
7.604,-35.363261,149.1652299,584.09,6,10,0.0,0,0,-1001,0,0,0,945.0282592773438,2685,224,80,-528,0
7.705,-35.363261,149.1652299,584.09,6,10,0.0,0,0,-1001,0,0,0,945.0282592773438,2686,224,80,-528,0
7.807,-35.363261,149.1652299,584.09,6,10,0.0,0,0,-1001,0,0,0,945.0282592773438,2687,224,80,-528,0
7.907,-35.363261,149.1652299,584.09,6,10,0.0,0,0,-1001,0,0,0,945.0282592773438,2689,224,80,-528,0
8.005,-35.363261,149.1652299,584.09,6,10,0.0,0,0,-1001,0,0,0,945.0282592773438,2690,224,80,-528,0
8.107,-35.363261,149.1652299,584.09,6,10,0.0,0,0,-1001,0,0,0,945.0282592773438,2692,224,80,-528,0
8.202,-35.363261,149.1652299,584.09,6,10,0.0,0,0,-1001,0,0,0,945.0282592773438,2693,224,80,-528,0
8.304,-35.363261,149.1652299,584.09,6,10,0.0,0,0,-1001,0,0,0,945.0282592773438,2695,224,80,-528,0
8.406,-35.363261,149.1652299,584.09,6,10,0.0,0,0,-1001,0,0,0,945.0282592773438,2696,224,80,-528,0
8.506,-35.363261,149.1652299,584.09,6,10,0.0,0,0,-1001,0,0,0,945.0282592773438,2697,224,80,-528,0
8.602,-35.363261,149.1652299,584.09,6,10,0.0,0,0,-1001,0,0,0,945.0282592773438,2699,224,80,-528,0
8.704,-35.363261,149.1652299,584.09,6,10,0.0,0,0,-1001,0,0,0,945.0282592773438,2700,224,80,-528,0
8.806,-35.363261,149.1652299,584.09,6,10,0.0,0,0,-1001,0,0,0,945.0282592773438,2702,224,80,-528,0
8.902,-35.363261,149.1652299,584.09,6,10,0.0,0,0,-1001,0,0,0,945.0282592773438,2703,224,80,-528,0
9.004,-35.363261,149.1652299,584.09,6,10,0.0,0,0,-1001,0,0,0,945.0282592773438,2704,224,80,-528,0
9.102,-35.363261,149.1652299,584.09,6,10,0.0,0,0,-1001,0,0,0,945.0282592773438,2706,224,80,-528,0
9.206,-35.363261,149.1652299,584.09,6,10,0.0,0,0,-1001,0,0,0,945.0282592773438,2707,224,80,-528,0
9.306,-35.363261,149.1652299,584.09,6,10,0.0,0,0,-1001,0,0,0,945.0282592773438,2709,224,80,-528,0
9.402,-35.363261,149.1652299,584.09,6,10,0.0,0,0,-1001,0,0,0,945.0282592773438,2710,224,80,-528,0
9.503,-35.363261,149.1652299,584.09,6,10,0.0,0,0,-1001,0,0,0,945.0282592773438,2711,224,80,-528,0
9.605,-35.363261,149.1652299,584.09,6,10,0.0,0,0,-1001,0,0,0,945.0282592773438,2713,224,80,-528,0
9.706,-35.363261,149.1652299,584.09,6,10,0.0,0,0,-1000,0,0,0,945.0282592773438,2714,224,80,-528,0
9.807,-35.363261,149.1652299,584.09,6,10,0.0,0,0,-1001,0,0,0,945.0282592773438,2715,224,80,-528,0
9.904,-35.363261,149.1652299,584.09,6,10,0.0,0,0,-1001,0,0,0,945.0282592773438,2717,224,80,-528,0
10.006,-35.363261,149.1652299,584.09,6,10,0.0,0,0,-1001,0,0,0,945.0282592773438,2718,224,80,-528,0
10.107,-35.363261,149.1652299,584.09,6,10,0.0,0,0,-1001,0,0,0,945.0282592773438,2719,224,80,-528,0
10.202,-35.363261,149.1652299,584.09,6,10,0.0,0,0,-1001,0,0,0,945.0282592773438,2721,224,80,-528,0
10.303,-35.363261,149.1652299,584.09,6,10,0.0,0,0,-1001,0,0,0,945.0282592773438,2722,224,80,-528,0
10.405,-35.363261,149.1652299,584.09,6,10,0.0,0,0,-1001,0,0,0,945.0282592773438,2723,224,80,-528,0
10.505,-35.363261,149.1652299,584.09,6,10,0.0,0,0,-1001,0,0,0,945.0282592773438,2725,224,80,-528,0
10.607,-35.363261,149.1652299,584.09,6,10,0.0,0,0,-1001,0,0,0,945.0282592773438,2726,224,80,-528,0
10.707,-35.363261,149.1652299,584.09,6,10,0.0,0,0,-1001,0,0,0,945.0282592773438,2727,224,80,-528,0
10.805,-35.363261,149.1652299,584.09,6,10,0.0,0,0,-1001,0,0,0,945.0282592773438,2729,224,80,-528,0
10.902,-35.363261,149.1652299,584.09,6,10,0.0,0,0,-1001,0,0,0,945.0282592773438,2730,224,80,-528,0
11.002,-35.363261,149.1652299,584.09,6,10,0.0,0,0,-1001,0,0,0,945.0282592773438,2731,224,80,-528,0
11.105,-35.363261,149.1652299,584.09,6,10,0.0,0,0,-1001,0,0,0,945.0282592773438,2733,224,80,-528,0
11.202,-35.363261,149.1652299,584.09,6,10,0.0,0,0,-1001,0,0,0,945.0282592773438,2734,224,80,-528,0
11.304,-35.363261,149.1652299,584.09,6,10,0.0,0,0,-1001,0,0,0,945.0282592773438,2735,224,80,-528,0
11.406,-35.363261,149.1652299,584.09,6,10,0.0,0,0,-1001,0,0,0,945.0282592773438,2736,224,80,-528,0
11.502,-35.363261,149.1652299,584.09,6,10,0.0,0,0,-1001,0,0,0,945.0282592773438,2738,224,80,-528,0
11.605,-35.363261,149.1652299,584.09,6,10,0.0,0,0,-1001,0,0,0,945.0282592773438,2739,224,80,-528,0
11.703,-35.363261,149.1652299,584.09,6,10,0.0,0,0,-1001,0,0,0,945.0282592773438,2740,224,80,-528,0
11.805,-35.363261,149.1652299,584.09,6,10,0.0,0,0,-1001,0,0,0,945.0282592773438,2741,224,80,-528,0
11.908,-35.363261,149.1652299,584.09,6,10,0.0,0,0,-1001,0,0,0,945.0282592773438,2743,224,80,-528,0
12.006,-35.363261,149.1652299,584.09,6,10,0.0,0,0,-1001,0,0,0,945.0282592773438,2744,224,80,-528,0
12.108,-35.363261,149.1652299,584.09,6,10,0.0,0,0,-1001,0,0,0,945.0282592773438,2745,224,80,-528,0
12.207,-35.363261,149.1652299,584.09,6,10,0.0,0,0,-1001,0,0,0,945.0282592773438,2746,224,80,-528,0
12.304,-35.363261,149.1652299,584.09,6,10,0.0,0,0,-1001,0,0,0,945.0282592773438,2748,224,80,-528,0
12.406,-35.363261,149.1652299,584.09,6,10,0.0,0,0,-1001,0,0,0,945.0282592773438,2749,224,80,-528,0
12.502,-35.363261,149.1652299,584.09,6,10,0.0,0,0,-1001,0,0,0,945.0282592773438,2750,224,80,-528,0
12.604,-35.363261,149.1652299,584.09,6,10,0.0,0,0,-1001,0,0,0,945.0282592773438,2751,224,80,-528,0
12.706,-35.363261,149.1652299,584.09,6,10,0.0,0,0,-1001,0,0,0,945.0282592773438,2753,224,80,-528,0
12.802,-35.363261,149.1652299,584.09,6,10,0.0,0,0,-1001,0,0,0,945.0282592773438,2754,224,80,-528,0
12.903,-35.363261,149.1652299,584.09,6,10,0.0,0,0,-1001,0,0,0,945.0282592773438,2755,224,80,-528,0
13.006,-35.363261,149.1652299,584.09,6,10,0.0,0,0,-1001,0,0,0,945.0282592773438,2756,224,80,-528,0
13.104,-35.363261,149.1652299,584.09,6,10,0.0,0,0,-1001,0,0,0,945.0282592773438,2758,224,80,-528,0
13.206,-35.363261,149.1652299,584.09,6,10,0.0,0,0,-1001,0,0,0,945.0282592773438,2759,224,80,-528,0
13.307,-35.363261,149.1652299,584.09,6,10,0.0,0,0,-1001,0,0,0,945.0282592773438,2760,224,80,-528,0
13.404,-35.363261,149.1652299,584.09,6,10,0.0,0,0,-1001,0,0,0,945.0282592773438,2761,224,80,-528,0
13.502,-35.363261,149.1652299,584.09,6,10,0.0,0,0,-1001,0,0,0,945.0282592773438,2762,224,80,-528,0
13.604,-35.363261,149.1652299,584.09,6,10,0.0,0,0,-1001,0,0,0,945.0282592773438,2763,224,80,-528,0
13.705,-35.363261,149.1652299,584.09,6,10,0.0,0,0,-1001,0,0,0,945.0282592773438,2765,224,80,-528,0
13.803,-35.363261,149.1652299,584.09,6,10,0.0,0,0,-1001,0,0,0,945.0282592773438,2766,224,80,-528,0
13.905,-35.363261,149.1652299,584.09,6,10,0.0,0,0,-1001,0,0,0,945.0282592773438,2767,224,80,-528,0
14.003,-35.363261,149.1652299,584.09,6,10,0.0,0,0,-1001,0,0,0,945.0282592773438,2768,224,80,-528,0
14.105,-35.363261,149.1652299,584.09,6,10,0.0,0,0,-1001,0,0,0,945.0282592773438,2769,224,80,-528,0
14.207,-35.363261,149.1652299,584.09,6,10,0.0,0,0,-1001,0,0,0,945.0282592773438,2771,224,80,-528,0
14.304,-35.363261,149.1652299,584.09,6,10,0.0,0,0,-1001,0,0,0,945.0282592773438,2772,224,80,-528,0
14.406,-35.363261,149.1652299,584.09,6,10,0.0,0,0,-1001,0,0,0,945.0282592773438,2773,224,80,-528,0
14.503,-35.363261,149.1652299,584.09,6,10,0.0,0,0,-1001,0,0,0,945.0282592773438,2774,224,80,-528,0
14.605,-35.363261,149.1652299,584.09,6,10,0.0,0,0,-1001,0,0,0,945.0282592773438,2775,224,80,-528,0
14.707,-35.363261,149.1652299,584.09,6,10,0.0,0,0,-1001,0,0,0,945.0282592773438,2776,224,80,-528,0
14.806,-35.363261,149.1652299,584.09,6,10,0.0,0,0,-1000,0,0,0,945.0282592773438,2777,224,80,-528,0
14.904,-35.363261,149.1652299,584.09,6,10,0.0,0,0,-1001,0,0,0,945.0282592773438,2779,224,80,-528,0
15.005,-35.363261,149.1652299,584.09,6,10,0.0,0,0,-1001,0,0,0,945.0282592773438,2780,224,80,-528,0
15.105,-35.363261,149.1652299,584.09,6,10,0.0,0,0,-1001,0,0,0,945.0282592773438,2781,224,80,-528,0
15.204,-35.363261,149.1652299,584.09,6,10,0.0,0,0,-1001,0,0,0,945.0282592773438,2782,224,80,-528,0
15.306,-35.363261,149.1652299,584.09,6,10,0.0,0,0,-1001,0,0,0,945.0282592773438,2783,224,80,-528,0
15.407,-35.363261,149.1652299,584.09,6,10,0.0,0,0,-1001,0,0,0,945.0282592773438,2784,224,80,-528,0
15.503,-35.363261,149.1652299,584.09,6,10,0.0,0,0,-1001,0,0,0,945.0282592773438,2785,224,80,-528,0
15.605,-35.363261,149.1652299,584.09,6,10,0.0,0,0,-1001,0,0,0,945.0282592773438,2786,224,80,-528,0
15.707,-35.363261,149.1652299,584.09,6,10,0.0,0,0,-1001,0,0,0,945.0282592773438,2788,224,80,-528,0
15.803,-35.363261,149.1652299,584.09,6,10,0.0,0,0,-1001,0,0,0,945.0282592773438,2789,224,80,-528,0
15.906,-35.363261,149.1652299,584.09,6,10,0.0,0,0,-1001,0,0,0,945.0282592773438,2790,224,80,-528,0
16.008,-35.363261,149.1652299,584.09,6,10,0.0,0,0,-1001,0,0,0,945.0282592773438,2791,224,80,-528,0
16.103,-35.363261,149.1652299,584.09,6,10,0.0,0,0,-1001,0,0,0,945.0282592773438,2792,224,80,-528,0
16.204,-35.363261,149.1652299,584.09,6,10,0.0,0,0,-1001,0,0,0,945.0282592773438,2793,224,80,-528,0
16.304,-35.363261,149.1652299,584.09,6,10,0.0,0,0,-1001,0,0,0,945.0282592773438,2794,224,80,-528,0
16.406,-35.363261,149.1652299,584.09,6,10,0.0,0,0,-1001,0,0,0,945.0282592773438,2795,224,80,-528,0
16.506,-35.363261,149.1652299,584.09,6,10,0.0,0,0,-1001,0,0,0,945.0282592773438,2796,224,80,-528,0
16.606,-35.363261,149.1652299,584.09,6,10,0.0,0,0,-1001,0,0,0,945.0282592773438,2797,224,80,-528,0
16.708,-35.363261,149.1652299,584.09,6,10,0.0,0,0,-1001,0,0,0,945.0282592773438,2798,224,80,-528,0
16.804,-35.363261,149.1652299,584.09,6,10,0.0,0,0,-1001,0,0,0,945.0282592773438,2800,224,80,-528,0
16.906,-35.363261,149.1652299,584.09,6,10,0.0,0,0,-1001,0,0,0,945.0282592773438,2801,224,80,-528,0
17.006,-35.363261,149.1652299,584.09,6,10,0.0,0,0,-1001,0,0,0,945.0282592773438,2802,224,80,-528,0
17.108,-35.363261,149.1652299,584.09,6,10,0.0,0,0,-1001,0,0,0,945.0282592773438,2803,224,80,-528,0
17.204,-35.363261,149.1652299,584.09,6,10,0.0,0,0,-1001,0,0,0,945.0282592773438,2804,224,80,-528,0
17.304,-35.363261,149.1652299,584.09,6,10,0.0,0,0,-1001,0,0,0,945.0282592773438,2805,224,80,-528,0
17.404,-35.363261,149.1652299,584.09,6,10,0.0,0,0,-1001,0,0,0,945.0282592773438,2806,224,80,-528,0
17.507,-35.363261,149.1652299,584.09,6,10,0.0,0,0,-1001,0,0,0,945.0282592773438,2807,224,80,-528,0
17.607,-35.363261,149.1652299,584.09,6,10,0.0,0,0,-1001,0,0,0,945.0282592773438,2808,224,80,-528,0
17.708,-35.363261,149.1652299,584.09,6,10,0.0,0,0,-1001,0,0,0,945.0282592773438,2809,224,80,-528,0
17.805,-35.363261,149.1652299,584.09,6,10,0.0,0,0,-1001,0,0,0,945.0282592773438,2810,224,80,-528,0
17.905,-35.363261,149.1652299,584.09,6,10,0.0,0,0,-1001,0,0,0,945.0282592773438,2811,224,80,-528,0
18.008,-35.363261,149.1652299,584.09,6,10,0.0,0,0,-1001,0,0,0,945.0282592773438,2812,224,80,-528,0
18.107,-35.363261,149.1652299,584.09,6,10,0.0,0,0,-1001,0,0,0,945.0282592773438,2813,224,80,-528,0
18.205,-35.363261,149.1652299,584.09,6,10,0.0,0,0,-1001,0,0,0,945.0282592773438,2814,224,80,-528,0
18.308,-35.363261,149.1652299,584.09,6,10,0.0,0,0,-1001,0,0,0,945.0282592773438,2815,224,80,-528,0
18.404,-35.363261,149.1652299,584.09,6,10,0.0,0,0,-1001,0,0,0,945.0282592773438,2816,224,80,-528,0
18.507,-35.363261,149.1652299,584.09,6,10,0.0,0,0,-1000,0,0,0,945.0282592773438,2817,224,80,-528,0
18.608,-35.363261,149.1652299,584.09,6,10,0.0,0,0,-1001,0,0,0,945.0282592773438,2818,224,80,-528,0
18.705,-35.363261,149.1652299,584.09,6,10,0.0,0,0,-1000,0,0,0,945.0282592773438,2819,224,80,-528,0
18.808,-35.363261,149.1652299,584.09,6,10,0.0,0,0,-1001,0,0,0,945.0282592773438,2820,224,80,-528,0
18.905,-35.363261,149.1652299,584.09,6,10,0.0,0,0,-1001,0,0,0,945.0282592773438,2821,224,80,-528,0
19.005,-35.363261,149.1652299,584.09,6,10,0.0,0,0,-1001,0,0,0,945.0282592773438,2822,224,80,-528,0
19.106,-35.363261,149.1652299,584.09,6,10,0.0,0,0,-1001,0,0,0,945.0282592773438,2823,224,80,-528,0
19.207,-35.363261,149.1652299,584.09,6,10,0.0,0,0,-1001,0,0,0,945.0282592773438,2824,224,80,-528,0
19.308,-35.363261,149.1652299,584.09,6,10,0.0,0,0,-1000,0,0,0,945.0282592773438,2825,224,80,-528,0
19.408,-35.363261,149.1652299,584.09,6,10,0.0,0,0,-1001,0,0,0,945.0282592773438,2826,224,80,-528,0
19.504,-35.363261,149.1652299,584.09,6,10,0.0,0,0,-1001,0,0,0,945.0282592773438,2827,224,80,-528,0
19.605,-35.363261,149.1652299,584.09,6,10,0.0,0,0,-1001,0,0,0,945.0282592773438,2828,224,80,-528,0
19.707,-35.363261,149.1652299,584.09,6,10,0.0,0,0,-1001,0,0,0,945.0282592773438,2829,224,80,-528,0
19.808,-35.363261,149.1652299,584.09,6,10,0.0,0,0,-1001,0,0,0,945.0282592773438,2830,224,80,-528,0
19.904,-35.363261,149.1652299,584.09,6,10,0.0,0,0,-1001,0,0,0,945.0282592773438,2831,224,80,-528,0
20.007,-35.363261,149.1652299,584.09,6,10,0.0,0,0,-1001,0,0,0,945.0282592773438,2832,224,80,-528,0
20.104,-35.363261,149.1652299,584.09,6,10,0.0,0,0,-1001,0,0,0,945.0282592773438,2833,224,80,-528,0
20.206,-35.363261,149.1652299,584.09,6,10,0.0,0,0,-1001,0,0,0,945.0282592773438,2834,224,80,-528,0
20.304,-35.363261,149.1652299,584.09,6,10,0.0,0,0,-1001,0,0,0,945.0282592773438,2835,224,80,-528,0
20.407,-35.363261,149.1652299,584.09,6,10,0.0,0,0,-1001,0,0,0,945.0282592773438,2836,224,80,-528,0
20.508,-35.363261,149.1652299,584.09,6,10,0.0,0,0,-1001,0,0,0,945.0282592773438,2837,224,80,-528,0
20.604,-35.363261,149.1652299,584.09,6,10,0.0,0,0,-1001,0,0,0,945.0282592773438,2838,224,80,-528,0
20.705,-35.363261,149.1652299,584.09,6,10,0.0,0,0,-1001,0,0,0,945.0282592773438,2839,224,80,-528,0
20.807,-35.363261,149.1652299,584.09,6,10,0.0,0,0,-1001,0,0,0,945.0282592773438,2840,224,80,-528,0
20.905,-35.363261,149.1652299,584.09,6,10,0.0,0,0,-1001,0,0,0,945.0282592773438,2840,224,80,-528,0
21.004,-35.363261,149.1652299,584.09,6,10,0.0,0,0,-1001,0,0,0,945.0282592773438,2841,224,80,-528,0
21.105,-35.363261,149.1652299,584.09,6,10,0.0,0,0,-1001,0,0,0,945.0282592773438,2842,224,80,-528,0
21.207,-35.363261,149.1652299,584.09,6,10,0.0,0,0,-1001,0,0,0,945.0282592773438,2843,224,80,-528,0
21.304,-35.363261,149.1652299,584.09,6,10,0.0,0,0,-1001,0,0,0,945.0282592773438,2844,224,80,-528,0
