timestamp,gps_lat,gps_lon,gps_alt,gps_fix_type,gps_satellites,gps_speed,imu_xacc,imu_yacc,imu_zacc,imu_xgyro,imu_ygyro,imu_zgyro,baro_pressure,baro_temp,mag_x,mag_y,mag_z,label,residual_lat,residual_lon,residual_alt,residual_mag,predicted_lat,predicted_lon,predicted_alt,residual_mag_mean,residual_mag_std,imu_acc_mag
6.804,-35.0016358,147.6398646,578.11,1,3,0.0,0,0,-1001,0,0,0,945.0282592773438,2673,224,80,-528,0,0.0,0.0,0.0,0.0,-35.0016358,147.6398646,578.11,0.0,0.0,1001.0
6.903,-35.0016358,147.6398646,578.11,1,3,0.0,0,0,-1001,0,0,0,945.0282592773438,2674,224,80,-528,0,0.0,0.0,0.0,0.0,-35.0016358,147.6398646,578.11,0.0,0.0,1001.0
7.001,-35.363261,149.1652299,584.09,6,10,0.0,0,0,-1001,0,0,0,945.0282592773438,2676,224,80,-528,0,-0.36162519999999887,1.5253653000000043,5.980000000000018,6.182063739862229,-35.0016358,147.6398646,578.11,2.0606879132874094,3.5692161643568827,1001.0
7.102,-35.363261,149.1652299,584.09,6,10,0.0,0,0,-1000,0,0,0,945.0282592773438,2677,224,80,-528,0,0.12059698141958819,-0.5086881410426543,-1.9942469410017338,2.0616323916886157,-35.48385798141959,149.67391804104267,586.0842469410018,2.060924032887711,2.9142528330512953,1000.0
7.203,-35.363261,149.1652299,584.09,6,10,0.0,0,0,-1001,0,0,0,945.0282592773438,2679,224,80,-528,0,0.17825429634473267,-0.7518915114880542,-2.947694718569096,3.047297096295878,-35.541515296344734,149.91712141148807,587.0376947185691,2.258198645569345,2.562076998307051,1001.0
7.302,-35.363261,149.1652299,584.09,6,10,0.0,0,0,-1001,0,0,0,945.0282592773438,2680,224,80,-528,0,0.17485197194780966,-0.7375402229871497,-2.891432323433037,2.989133599157345,-35.53811297194781,149.90277012298716,586.9814323234331,2.3800211378340115,2.310938154501912,1001.0
7.403,-35.363261,149.1652299,584.09,6,10,0.0,0,0,-1001,0,0,0,945.0282592773438,2682,224,80,-528,0,0.1595193754500457,-0.6728660502342905,-2.637885482514207,2.7270194299933177,-35.52278037545005,149.8380959502343,586.7278854825142,2.429592322428198,2.1136612180460115,1001.0
7.503,-35.363261,149.1652299,584.09,6,10,0.0,0,0,-1001,0,0,0,945.0282592773438,2683,224,80,-528,0,0.14273728782003303,-0.6020778028101859,-2.3603691920911842,2.4401258854706964,-35.505998287820034,149.7673077028102,586.4503691920912,2.43090901780851,1.956873583568847,1001.0
7.604,-35.363261,149.1652299,584.09,6,10,0.0,0,0,-1001,0,0,0,945.0282592773438,2685,224,80,-528,0,0.12708992665132968,-0.5360759263831198,-2.1016172583518937,2.1726307438003105,-35.49035092665133,149.70130582638313,586.1916172583519,2.402211431807599,1.8325110933610746,1001.0
7.705,-35.363261,149.1652299,584.09,6,10,0.0,0,0,-1001,0,0,0,945.0282592773438,2686,224,80,-528,0,0.1131280364884617,-0.47718350744537474,-1.8707370454299053,1.9339491062490284,-35.47638903648846,149.6424134074454,585.9607370454299,2.355385199251742,1.7340420955839624,1001.0
7.807,-35.363261,149.1652299,584.09,6,10,0.0,0,0,-1001,0,0,0,945.0282592773438,2687,224,80,-528,0,0.10082879147577728,-0.42530426463113713,-1.6673510945176986,1.723690759705251,-35.46408979147578,149.59053416463115,585.7573510945177,2.527754275222267,1.5497743688071872,1001.0
7.907,-35.363261,149.1652299,584.09,6,10,0.0,0,0,-1001,0,0,0,945.0282592773438,2689,224,80,-528,0,0.09001726553059797,-0.3797003451122123,-1.4885667477626612,1.5388653036301279,-35.4532782655306,149.54493024511223,585.5785667477627,2.68164080558528,1.3319890902066513,1001.0
8.005,-35.363261,149.1652299,584.09,6,10,0.0,0,0,-1001,0,0,0,945.0282592773438,2690,224,80,-528,0,0.0804964164348263,-0.339540608353758,-1.3311256247637857,1.3761042571996018,-35.44375741643483,149.50477050835377,585.4211256247638,2.201044857319017,0.5877919826043095,1001.0
8.107,-35.363261,149.1652299,584.09,6,10,0.0,0,0,-1001,0,0,0,945.0282592773438,2692,224,80,-528,0,0.07208604347621161,-0.3040649526993775,-1.1920478439769795,1.232327048901506,-35.43534704347621,149.4692948526994,585.282047843977,2.1181143230403063,0.6632996938655924,1001.0
8.202,-35.363261,149.1652299,584.09,6,10,0.0,0,0,-1001,0,0,0,945.0282592773438,2693,224,80,-528,0,0.06463178242958634,-0.27262225695344,-1.0687807678473291,1.104894787754354,-35.42789278242959,149.43785215695345,585.1587807678474,1.923874092186154,0.645121769960018,1001.0
8.304,-35.363261,149.1652299,584.09,6,10,0.0,0,0,-1001,0,0,0,945.0282592773438,2695,224,80,-528,0,0.0580043470830347,-0.2446671810748171,-0.9591864603366957,0.9915972970257967,-35.421265347083036,149.40989708107483,585.0491864603367,1.7241204619729988,0.5850912521854783,1001.0
8.406,-35.363261,149.1652299,584.09,6,10,0.0,0,0,-1001,0,0,0,945.0282592773438,2696,224,80,-528,0,0.0520960124575609,-0.21974533210388358,-0.8614835318340965,0.8905929940869585,-35.41535701245756,149.3849752321039,584.9514835318341,1.5404778183823633,0.5199039927044713,1001.0
8.506,-35.363261,149.1652299,584.09,6,10,0.0,0,0,-1001,0,0,0,945.0282592773438,2697,224,80,-528,0,0.04681676075212948,-0.1974770074366745,-0.7741834067363698,0.8003430044795781,-35.41007776075213,149.3627069074367,584.8641834067364,1.3764995302832512,0.45973972867825985,1001.0
8.602,-35.363261,149.1652299,584.09,6,10,0.0,0,0,-1001,0,0,0,945.0282592773438,2699,224,80,-528,0,0.04209086319155375,-0.17754277677394725,-0.6960337993187977,0.7195527278406872,-35.405351863191555,149.34277267677396,584.7860337993188,1.2311917286872889,0.40672898199924595,1001.0
8.704,-35.363261,149.1652299,584.09,6,10,0.0,0,0,-1001,0,0,0,945.0282592773438,2700,224,80,-528,0,0.03785407291936593,-0.1596716415085382,-0.6259722941258588,0.6471238497782371,-35.40111507291937,149.32490154150855,584.7159722941259,1.1025092030402097,0.3606370312177604,1001.0
8.806,-35.363261,149.1652299,584.09,6,10,0.0,0,0,-1001,0,0,0,945.0282592773438,2702,224,80,-528,0,0.03405139664756973,-0.14363163535819012,-0.5630894969499423,0.5821162477243332,-35.39731239664757,149.3088615353582,584.65308949695,0.9883517518421179,0.3206165379270902,1001.0
8.902,-35.363261,149.1652299,584.09,6,10,0.0,0,0,-1001,0,0,0,945.0282592773438,2703,224,80,-528,0,0.030635352487088596,-0.1292224757485485,-0.5066002255174453,0.5237182081567519,-35.39389635248709,149.29445237574856,584.5966002255175,0.8868370422947806,0.2857585375805841,1001.0
9.004,-35.363261,149.1652299,584.09,6,10,0.0,0,0,-1001,0,0,0,945.0282592773438,2704,224,80,-528,0,0.027564615243193202,-0.11626984955643138,-0.45582110747341176,0.4712232676212711,-35.390825615243195,149.28149974955645,584.5458211074734,0.7963489433369474,0.25525432149772215,1001.0
