timestamp,gps_lat,gps_lon,gps_alt,gps_fix_type,gps_satellites,gps_speed,imu_xacc,imu_yacc,imu_zacc,imu_xgyro,imu_ygyro,imu_zgyro,baro_pressure,baro_temp,mag_x,mag_y,mag_z,label,residual_lat,residual_lon,residual_alt,residual_mag,predicted_lat,predicted_lon,predicted_alt,residual_mag_mean,residual_mag_std,imu_acc_mag
0.0,-35.3632609528773,149.16523351354527,604.0755583372049,6,10.0,0.0,-46.60223573247915,94.17845841801984,-997.0150849026963,-27.188229413940725,3.8579614069162655,12.813382389795516,947.625113312156,250.40045974143496,180.8874789009655,-61.23204314237562,413.064136621725,0,0.0,0.0,0.0,0.0,-35.3632609528773,149.16523351354527,604.0755583372049,0.0,0.0,1002.5369967880442
0.1,-35.36325913945362,149.16524117009297,603.3320662839935,6,10.0,0.786836882971801,55.38438619713106,-49.37430216078058,-992.5570139118108,20.438008458016647,-14.37798702203932,14.700952192297432,947.6327845938526,250.98297896645823,179.35204647955112,-65.86626488548649,410.41669069296125,0,1.8134236796640835e-06,7.656547694523397e-06,-0.743492053211412,0.7434920532530475,-35.3632609528773,149.16523351354527,604.0755583372049,0.37174602662652373,0.5257282726135396,995.3264177212558
0.2,-35.36323991816278,149.1652588374686,603.7388274737656,6,10.0,2.610735879016276,98.68397618884522,49.37287690789215,-986.0184604195482,36.136862403754144,20.4056447509626,-6.550999951743812,947.4973832814776,248.85711655225663,180.87037307531796,-59.31088936533683,410.4747271532862,0,1.7463630499037208e-05,1.0246269170011146e-05,1.1273906300932595,1.1273906302750796,-35.36325738179328,149.16524859119943,602.6114368436723,0.6236275611760423,0.5731736479058236,992.1736805714706
0.3,-35.363238943115704,149.16526761052936,603.3395941623934,6,10.0,0.882707832961899,49.54056090123212,-78.30464009280176,-985.2117618593428,12.6657195724076,11.15883665975308,17.582072172964615,947.7028649875152,252.03553100990496,183.8129607507057,-64.09587253922429,407.19178492570666,0,-6.624422951517772e-06,-2.1407435895071103e-06,-0.04722119423570348,0.04722119474888155,-35.36323231869275,149.16526975127294,603.3868153566291,0.4795259695692522,0.5496178326045168,989.5595482538998
0.4,-35.36323739927821,149.16527952246574,604.4682541863779,6,10.0,1.2011563703138748,58.7448369053052,-18.48172404147823,-923.1711165019228,-12.727541087278112,14.803573374597123,-6.051015687917451,947.518987086618,248.4287249113897,178.87234917941177,-58.20730110350561,413.24564462288464,0,-8.829573317825634e-06,-6.521875945963984e-07,1.296630083296236,1.2966300833264632,-35.363228569704894,149.16528017465333,603.1716241030816,0.6429467923206944,0.6000763684577626,925.2229138591321
0.5,-35.363229232787056,149.16529323376844,603.9241793760482,6,10.0,1.5959053841636175,27.048140174363088,2.888156282143205,-1015.4395863042596,10.20668252812659,27.05567811359989,-7.298418551736793,947.5770303454796,249.55821193640065,182.0418616822142,-60.12845099998818,407.31646714033343,0,-1.8513131863073795e-06,1.6481461670991848e-06,-0.13512310770988734,0.1351231077326212,-35.36322738147387,149.16529158562227,604.0593024837581,0.5583095115560156,0.5753730391290502,1015.8038672732881
0.601,-35.3632273488415,149.1653001331522,604.6527051482493,6,10.0,0.7151975040317472,17.784250180322374,-52.2760626602782,-943.2766546705568,-38.79036111168007,7.340324897885041,0.5341695378898901,947.4648587517804,249.89650953071236,182.69394139408823,-61.7708960888666,408.6884380805163,0,-5.350365348988362e-06,-4.427660343253592e-06,0.6077520171402284,0.6077520171799079,-35.36322199847615,149.16530456081253,604.0449531311091,0.565372726645143,0.5255736562864112,944.8914824085433
0.701,-35.363218397162804,149.16531945117092,604.3249913748409,6,10.0,2.1291275186841307,-37.88020011311364,66.40492910517739,-937.9156165398872,26.5990855361676,3.1869413677063694,-2.486377584782144,947.485397000696,251.06796370925215,179.81673044518146,-60.56191473589706,411.4856641777045,0,5.001274701044167e-07,5.573071291564702e-06,-0.15701015366903448,0.15701015376873903,-35.363218897290274,149.16531387809962,604.48200152851,0.5143274050355925,0.507554501106469,941.0261568731604
0.801,-35.363205194140804,149.16533517951507,603.7062920294939,6,10.0,2.0535350002208856,57.79394214259349,47.157351438484895,-1013.103462205581,18.25621192705493,-10.980535225782033,-11.064392117671852,947.645604685744,249.4797146855153,179.814816350969,-61.43178030863034,410.2021121005414,0,7.6082703586166645e-06,6.6228654702626955e-06,-0.8166927491960223,0.8166927492583151,-35.36321280241116,149.1653285566496,604.5229847786899,0.5479235543936728,0.4853539290141484,1015.8457464969813
0.901,-35.363199249477915,149.16533867728987,604.174072336286,6,10.0,0.6897350607031085,-63.03150489038836,10.193546505760674,-955.1927914422224,-18.85437580133584,30.735144295571523,13.858508783724568,947.6971871094734,249.24052155857785,178.665911130068,-57.54906746261214,411.8768702031174,0,3.777708556640391e-06,-5.346758825908182e-06,-0.04340201849947789,0.04340201899322119,-35.36320302718647,149.1653440240487,604.2174743547855,0.4974714008536276,0.4846115595666188,957.324473635923
