timestamp,gps_lat,gps_lon,gps_alt,gps_fix_type,gps_satellites,gps_speed,imu_xacc,imu_yacc,imu_zacc,imu_xgyro,imu_ygyro,imu_zgyro,baro_pressure,baro_temp,mag_x,mag_y,mag_z,label,residual_lat,residual_lon,residual_alt,residual_mag,predicted_lat,predicted_lon,predicted_alt,residual_mag_mean,residual_mag_std,imu_acc_mag
64.038,-35.361559084390166,149.16693191560984,584.09,6,10,0.0,0,0,-1001,0,0,1,945.0282592773438,3053,224,80,-528,1,1.6253731160986717e-07,1.6253727608273039e-07,1.1368683772161603e-13,2.2986244534888622e-07,-35.36155924692748,149.16693175307256,584.0899999999999,1.137735319571355e-07,7.483867206556459e-08,1001.0
64.134,-35.36155430134392,149.1669366986561,584.09,6,10,0.0,0,0,-1001,0,0,0,945.0282592773438,3054,224,80,-528,1,-1.1175868763757535e-07,-1.1175868053214799e-07,1.1368683772161603e-13,1.5805064674582252e-07,-35.361554189585235,149.16693681041477,584.0899999999999,1.083575334421927e-07,6.862515847338883e-08,1001.0
64.236,-35.361549182222845,149.16694181777717,584.09,6,10,0.0,0,0,-1001,0,0,0,945.0282592773438,3054,224,80,-528,1,4.38711182937368e-08,4.387112539916416e-08,1.1368683772161603e-13,6.204313551187721e-08,-35.36154922609396,149.16694177390605,584.0899999999999,1.1069440127828887e-07,6.634873707319983e-08,1001.0
64.338,-35.36154410978413,149.16694689021588,584.09,6,10,0.0,0,0,-1001,0,1,0,945.0282592773438,3054,224,80,-528,1,1.0007461526129191e-07,1.0007462947214663e-07,1.1368683772161603e-13,1.415268882004263e-07,-35.36154420985874,149.16694679014125,584.0899999999999,1.1024692944943043e-07,6.609877743071177e-08,1001.0
64.435,-35.36153923630572,149.1669517636943,584.09,6,10,0.0,0,0,-1001,0,0,0,945.0282592773438,3054,224,80,-528,1,-6.3907556580034e-08,-6.390752105289721e-08,1.1368683772161603e-13,9.037890813220567e-08,-35.36153917239816,149.16695182760182,584.0899999999999,1.0119191784562217e-07,6.137343146309351e-08,1001.0
64.537,-35.36153414505577,149.16695685494423,584.09,6,10,0.0,0,0,-1001,0,0,0,945.0282592773438,3055,224,80,-528,1,4.591355917682449e-08,4.591356628225185e-08,1.1368683772161603e-13,6.493158310908046e-08,-35.36153419096933,149.16695680903067,584.0899999999999,1.0029814233669541e-07,6.187853960786241e-08,1001.0
64.637,-35.36152914918518,149.16696185081483,584.09,6,10,0.0,0,0,-1001,0,0,0,945.0282592773438,3055,224,80,-528,1,2.2749581773950922e-08,2.274958887937828e-08,1.1368683772161603e-13,3.2172772107534293e-08,-35.36152917193476,149.16696182806524,584.0899999999999,9.748355942519721e-08,6.448433622681742e-08,1001.0
64.737,-35.361524147735594,149.1669668522644,584.09,6,10,0.0,0,0,-1001,0,0,0,945.0282592773438,3055,224,80,-528,1,1.2258063009085163e-08,1.2258055903657805e-08,1.1368683772161603e-13,1.733551393194983e-08,-35.36152415999366,149.16696684000635,584.0899999999999,9.041583268748775e-08,6.932896822267976e-08,1001.0
64.834,-35.36151931382275,149.16697168617725,584.09,6,10,0.0,0,0,-1001,0,1,0,945.0282592773438,3055,224,80,-528,1,-1.6260791824151966e-07,-1.6260793245237437e-07,1.1368683772161603e-13,2.2996233337503257e-07,-35.36151915121483,149.16697184878518,584.0899999999999,1.123644998340658e-07,7.566292763769584e-08,1001.0
64.935,-35.36151423688984,149.16697676311017,584.09,6,10,0.0,0,0,-1001,0,0,0,945.0282592773438,3055,224,80,-528,1,-3.2261112892228994e-08,-3.226108447051956e-08,1.1368683772161603e-13,4.5624083292402347e-08,-35.361514204628726,149.16697679537126,584.0899999999999,1.0718883097552174e-07,7.851808226539667e-08,1001.0
65.034,-35.36150930411673,149.1669816958833,584.09,6,10,0.0,0,0,-1001,1,0,0,945.0282592773438,3056,224,80,-528,1,-8.846548382734909e-08,-8.846544119478494e-08,1.1368683772161603e-13,1.2510905688481486e-07,-35.361509215651246,149.16698178434874,584.0899999999999,9.67134921291146e-08,6.638339382160195e-08,1001.0
